track,metric,train_mean,current_mean,mean_rel_change,train_p95,current_p95,p95_rel_change
CASE_FILE_PATH,direct_release_flag,0.0,0.0,,0.0,0.0,
CASE_FILE_PATH,exam_branch_flag,1.0,1.0,0.0,1.0,1.0,0.0
CASE_FILE_PATH,amendment_branch_flag,0.0,0.0,,0.0,0.0,
CASE_FILE_PATH,path_complexity_index,4.0,4.0,0.0,4.0,4.0,0.0
AMENDMENT_LOOP,recheck_touch_count,0.0,0.0,,0.0,0.0,
AMENDMENT_LOOP,multiple_rechecks_flag,0.0,0.0,,0.0,0.0,
AMENDMENT_LOOP,amendment_loop_depth,0.0,0.0,,0.0,0.0,
AMENDMENT_LOOP,amendment_loop_index,1.0,1.0,0.0,1.0,1.0,0.0
EXAM_ESCALATION,inspection_ratio,0.328587,0.328587,0.0,0.502609,0.502609,0.0
EXAM_ESCALATION,hold_ratio,0.0,0.0,,0.0,0.0,
EXAM_ESCALATION,large_customs_gap_flag,1.0,1.0,0.0,1.0,1.0,0.0
EXAM_ESCALATION,exam_escalation_index,0.328587,0.328587,0.0,0.502609,0.502609,0.0
RELEASE_GATE,decl_to_release_min,2726.039407,2726.039407,0.0,3837.3375,3837.3375,0.0
RELEASE_GATE,duty_to_release_min,1262.888035,1262.888035,0.0,1885.7,1885.7,0.0
RELEASE_GATE,release_to_handover_min,850.451614,850.451614,0.0,1393.783333,1393.783333,0.0
RELEASE_GATE,long_clearance_lag_flag,0.050163,0.050163,0.0,0.75,0.75,0.0
RELEASE_GATE,release_gate_index,0.957499,0.957499,0.0,0.975806,0.975806,0.0
