n_estimators,contamination,max_samples,max_features,avg_anomaly_rate,avg_score_mean,avg_score_std,avg_score_p95,avg_score_p99,tail_gap,stability_jaccard_top5pct,avg_top_case_alignment
150,0.03,auto,1.0,0.03,0.443414,0.060055,0.568302,0.651706,0.083403,0.81036,1.0
150,0.03,auto,0.8,0.03,0.444658,0.058876,0.566041,0.645929,0.079888,0.823787,1.0
150,0.03,0.8,1.0,0.03,0.403969,0.043967,0.490024,0.568863,0.078838,0.834888,1.0
150,0.03,0.8,0.8,0.03,0.408003,0.043495,0.493391,0.570743,0.077352,0.858545,1.0
150,0.05,auto,1.0,0.05,0.443414,0.060055,0.568302,0.651706,0.083403,0.81036,1.0
150,0.05,auto,0.8,0.05,0.444658,0.058876,0.566041,0.645929,0.079888,0.823787,1.0
150,0.05,0.8,1.0,0.05,0.403969,0.043967,0.490024,0.568863,0.078838,0.834888,1.0
150,0.05,0.8,0.8,0.05,0.408003,0.043495,0.493391,0.570743,0.077352,0.858545,1.0
150,0.07,auto,1.0,0.07,0.443414,0.060055,0.568302,0.651706,0.083403,0.81036,1.0
150,0.07,auto,0.8,0.07,0.444658,0.058876,0.566041,0.645929,0.079888,0.823787,1.0
150,0.07,0.8,1.0,0.07,0.403969,0.043967,0.490024,0.568863,0.078838,0.834888,1.0
150,0.07,0.8,0.8,0.07,0.408003,0.043495,0.493391,0.570743,0.077352,0.858545,1.0
150,0.1,auto,1.0,0.1,0.443414,0.060055,0.568302,0.651706,0.083403,0.81036,1.0
150,0.1,auto,0.8,0.1,0.444658,0.058876,0.566041,0.645929,0.079888,0.823787,1.0
150,0.1,0.8,1.0,0.1,0.403969,0.043967,0.490024,0.568863,0.078838,0.834888,1.0
150,0.1,0.8,0.8,0.1,0.408003,0.043495,0.493391,0.570743,0.077352,0.858545,1.0
250,0.03,auto,1.0,0.03,0.443851,0.05933,0.566864,0.650426,0.083562,0.867333,1.0
250,0.03,auto,0.8,0.03,0.44447,0.058546,0.565057,0.646991,0.081934,0.859641,1.0
250,0.03,0.8,1.0,0.03,0.405079,0.044045,0.491122,0.570116,0.078994,0.878958,1.0
250,0.03,0.8,0.8,0.03,0.408266,0.043326,0.49295,0.570802,0.077852,0.873068,1.0
250,0.05,auto,1.0,0.05,0.443851,0.05933,0.566864,0.650426,0.083562,0.867333,1.0
250,0.05,auto,0.8,0.05,0.44447,0.058546,0.565057,0.646991,0.081934,0.859641,1.0
250,0.05,0.8,1.0,0.05,0.405079,0.044045,0.491122,0.570116,0.078994,0.878958,1.0
250,0.05,0.8,0.8,0.05,0.408266,0.043326,0.49295,0.570802,0.077852,0.873068,1.0
250,0.07,auto,1.0,0.07,0.443851,0.05933,0.566864,0.650426,0.083562,0.867333,1.0
250,0.07,auto,0.8,0.07,0.44447,0.058546,0.565057,0.646991,0.081934,0.859641,1.0
250,0.07,0.8,1.0,0.07,0.405079,0.044045,0.491122,0.570116,0.078994,0.878958,1.0
250,0.07,0.8,0.8,0.07,0.408266,0.043326,0.49295,0.570802,0.077852,0.873068,1.0
250,0.1,auto,1.0,0.1,0.443851,0.05933,0.566864,0.650426,0.083562,0.867333,1.0
250,0.1,auto,0.8,0.1,0.44447,0.058546,0.565057,0.646991,0.081934,0.859641,1.0
250,0.1,0.8,1.0,0.1,0.405079,0.044045,0.491122,0.570116,0.078994,0.878958,1.0
250,0.1,0.8,0.8,0.1,0.408266,0.043326,0.49295,0.570802,0.077852,0.873068,1.0
350,0.03,auto,1.0,0.03,0.443883,0.058699,0.565359,0.648539,0.08318,0.875286,1.0
350,0.03,auto,0.8,0.03,0.444736,0.05854,0.56546,0.649191,0.083731,0.884868,1.0
350,0.03,0.8,1.0,0.03,0.405676,0.043906,0.491168,0.569821,0.078653,0.893747,1.0
350,0.03,0.8,0.8,0.03,0.407974,0.04343,0.492622,0.570323,0.077702,0.904829,1.0
350,0.05,auto,1.0,0.05,0.443883,0.058699,0.565359,0.648539,0.08318,0.875286,1.0
350,0.05,auto,0.8,0.05,0.444736,0.05854,0.56546,0.649191,0.083731,0.884868,1.0
350,0.05,0.8,1.0,0.05,0.405676,0.043906,0.491168,0.569821,0.078653,0.893747,1.0
350,0.05,0.8,0.8,0.05,0.407974,0.04343,0.492622,0.570323,0.077702,0.904829,1.0
350,0.07,auto,1.0,0.07,0.443883,0.058699,0.565359,0.648539,0.08318,0.875286,1.0
350,0.07,auto,0.8,0.07,0.444736,0.05854,0.56546,0.649191,0.083731,0.884868,1.0
350,0.07,0.8,1.0,0.07,0.405676,0.043906,0.491168,0.569821,0.078653,0.893747,1.0
350,0.07,0.8,0.8,0.07,0.407974,0.04343,0.492622,0.570323,0.077702,0.904829,1.0
350,0.1,auto,1.0,0.1,0.443883,0.058699,0.565359,0.648539,0.08318,0.875286,1.0
350,0.1,auto,0.8,0.1,0.444736,0.05854,0.56546,0.649191,0.083731,0.884868,1.0
350,0.1,0.8,1.0,0.1,0.405676,0.043906,0.491168,0.569821,0.078653,0.893747,1.0
350,0.1,0.8,0.8,0.1,0.407974,0.04343,0.492622,0.570323,0.077702,0.904829,1.0
