step_code,missing_case_count,step_label
STEP_001_ORDER_CONFIRMED,0,Order Confirmed
STEP_002_FRAUD_CHECK,0,Fraud Check
STEP_003_PAYMENT_VERIFIED,0,Payment Verified
STEP_004_INVENTORY_RESERVED,0,Inventory Reserved
STEP_005_WAVE_PLANNED,0,Wave Planned
STEP_006_PICK_START,0,Pick Start
STEP_007_PICK_COMPLETE,0,Pick Complete
STEP_008_REPLENISH_COMPLETE,0,Replenish Complete
STEP_009_SORTATION_COMPLETE,0,Sortation Complete
STEP_010_QC_COMPLETE,0,Qc Complete
STEP_011_PACKING_START,0,Packing Start
STEP_012_LABEL_PRINT,0,Label Print
STEP_013_WEIGH_DIM_CHECK,0,Weigh Dim Check
STEP_014_PACKING_COMPLETE,0,Packing Complete
STEP_015_MANIFEST_CREATED,0,Manifest Created
STEP_016_STAGING_COMPLETE,0,Staging Complete
STEP_017_DOCK_ASSIGN,0,Dock Assign
STEP_018_LOAD_TO_TRUCK,0,Load To Truck
STEP_019_GATE_OUT_WAREHOUSE,0,Gate Out Warehouse
STEP_020_HANDOFF_CARRIER,0,Handoff Carrier
STEP_021_CARRIER_ACCEPTED,0,Carrier Accepted
STEP_022_DEPART_WAREHOUSE,0,Depart Warehouse
STEP_023_WAREHOUSE_CLOSEOUT,0,Warehouse Closeout
